PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Luka Dončić,DAL,69,45,24,37.5,12980.3,2.46,1.37,1.09,3.68,4.12,3.24
Luka Garza,MIN,25,17,8,4.9,2197,0.42,0.23,0.19,4.66,4.99,4.31
Luka Samanic,UTA,42,15,27,9.3,3863.9,0.73,0.39,0.34,4.36,4.72,4.04
Luke Kennard,MEM,39,15,24,25.6,10072.5,1.91,1.06,0.85,4.15,4.46,3.82
Luke Kornet,BOS,62,47,15,15.5,6126.8,1.16,0.61,0.55,4.18,4.38,3.98
Malachi Flynn,DET,68,28,40,12.9,5405.1,1.02,0.55,0.48,4.41,4.73,4.1
Malaki Branham,SAS,74,17,57,21.1,9050.8,1.71,0.92,0.79,4.53,4.92,4.15
Malcolm Brogdon,POR,39,15,24,28.7,10725,2.03,1.13,0.91,3.95,4.31,3.58
Malcolm Cazalon,DET,1,0,1,2.6,930,0.18,0.08,0.09,4.05,4.29,3.84
Malik Beasley,MIL,79,46,33,29.6,11740,2.22,1.15,1.08,4.21,4.37,4.05
Malik Monk,SAC,72,42,30,26,10714.5,2.03,1.14,0.89,4.34,4.92,3.77
Malik Williams,TOR,7,2,5,15.2,6188.3,1.17,0.61,0.56,4.32,4.55,4.09
Mamadi Diakite,NYK,6,5,1,4.1,1658.2,0.31,0.16,0.15,4.29,4.61,3.97
Maozinha Pereira,MEM,7,2,5,17.4,7615.1,1.44,0.77,0.67,4.69,4.88,4.49
MarJon Beauchamp,MIL,48,30,18,12.7,5395.2,1.02,0.53,0.49,4.39,4.62,4.18
Marcus Morris Sr.,CLE,49,26,23,16.7,6481.8,1.23,0.66,0.56,4.11,4.36,3.83
Marcus Sasser,DET,70,11,59,19,7632.5,1.45,0.79,0.66,4.23,4.59,3.86
Marcus Smart,MEM,20,7,13,30.2,11273.6,2.14,1.14,1,3.88,4.24,3.54
Mark Williams,CHA,19,7,12,26.8,10579.1,2,1.06,0.94,4.19,4.45,3.93
Markelle Fultz,ORL,43,25,18,21.2,8931.5,1.69,0.9,0.79,4.47,4.66,4.28
Markieff Morris,DAL,25,14,11,8.5,3028.9,0.57,0.3,0.27,3.74,3.94,3.58
Markquis Nowell,TOR,1,0,1,3.5,1685,0.32,0.16,0.16,4.78,7.31,5.63
Marques Bolden,CHA,11,5,6,11,4322.1,0.82,0.43,0.39,4.1,4.37,3.84
Marvin Bagley III,WAS,50,7,43,21.1,8724.1,1.65,0.88,0.78,4.4,4.68,4.13
Mason Jones,SAC,5,3,2,5.5,2395.6,0.45,0.25,0.2,4.58,5.46,3.78
Mason Plumlee,LAC,46,29,17,14.7,6101.1,1.16,0.63,0.52,4.39,4.68,4.07
Matisse Thybulle,POR,64,17,47,22.7,9179.9,1.74,0.88,0.86,4.26,4.31,4.21
Matt Hurt,MEM,8,2,6,14.2,5764.3,1.09,0.6,0.49,4.29,4.51,4.04
Matt Ryan,NOP,28,14,14,13.9,5962.9,1.13,0.61,0.52,4.38,4.72,4.05
Max Christie,LAL,66,37,29,14.1,5768.4,1.09,0.59,0.51,4.37,4.68,4.05
